outage,earliest,latest,possible_duration_hours,probably_ended,min_estCustAffected,max_estCustAffected,region,latitude,longitude
650003,1570620019,1570837815,60.5,1,6,6,Forest Ranch,39.93504,-121.64677
650004,1570620019,1570769436,41.5,1,743,743,Red Bluff,40.18268,-122.24154
650005,1570620019,1570823432,56.5,1,258,258,Penn Valley,39.20093,-121.20911
650006,1570620019,1570831255,58.68,1,346,515,Dobbins,39.374,-121.20544
650007,1570620019,1570698028,21.67,1,64,64,Cutten,40.75926,-124.14953
650008,1570620019,1570620626,0.17,1,1,1,Meadow Vista,39.00471,-121.062
650009,1570620019,1570841415,61.5,1,311,311,Forest Ranch,40.03756,-121.61789
650010,1570620019,1570824033,56.67,1,532,532,Auburn Lake Trails,38.86981,-121.02019
650011,1570620019,1570700417,22.33,1,4102,4102,Arcata,40.86724,-124.0883
650012,1570620019,1570630837,3.0,1,1,1,Los Molinos,40.03537,-122.10474
650013,1570620019,1570840820,61.33,1,189,1345,Pollock Pines,38.76205,-120.55856
650014,1570620019,1570827640,57.67,1,427,427,Red Bluff,40.19,-122.2383
650015,1570620019,1570843826,62.17,1,10,10,Norden,39.32891,-120.3427
650016,1570620019,1570620626,0.17,1,1,1,Meadow Vista,39.00468,-121.0316
650017,1570620019,1570825219,57.0,1,566,566,Magalia,39.85801,-121.61348999999998
650018,1570620019,1570622425,0.67,1,1,1,Grass Valley,39.22801,-121.06421
650019,1570620019,1570623627,1.0,1,1,1,Camino,38.75167,-120.68821
650020,1570620019,1570622425,0.67,1,1,1,Nevada City,39.24415,-121.04966
650021,1570620019,1570821620,56.0,1,886,886,Penn Valley,39.20812,-121.20326
650022,1570620019,1570824033,56.67,1,261,261,Cool,38.8415,-121.01547
650023,1570620019,1570746036,35.0,1,166,166,Sausalito,37.85254000000001,-122.48295
650024,1570620019,1570621827,0.5,1,1,1,Palo Cedro,40.55859,-122.21988
650026,1570620019,1570621827,0.5,1,1,1,Millville,40.54354,-122.14656
650027,1570620019,1570823432,56.5,1,111,111,Dobbins,39.37186,-121.20767
650028,1570620019,1570825219,57.0,1,285,893,Auburn Lake Trails,38.89315,-120.99658
650029,1570620019,1570823432,56.5,1,1045,2073,Penn Valley,39.20415,-121.20043
650030,1570620019,1570843826,62.17,1,6,6,Soda Springs,39.32511,-120.37965
650031,1570620019,1570700417,22.33,1,1473,1473,Arcata,40.86723,-124.08837
650032,1570620019,1570863616,67.67,1,1,1097,Pollock Pines,38.71487,-120.58152
650033,1570620019,1570827036,57.5,1,347,998,Redding,40.61904000000001,-122.32266
650034,1570620019,1570820434,55.67,1,1060,1587,Auburn Lake Trails,38.89313,-120.9977
650035,1570620019,1570621827,0.5,1,1,1,Garden Valley,38.86207,-120.82321
650036,1570620019,1570811457,53.18,1,308,308,Lakeport,39.05271,-122.91796
650037,1570620019,1570828820,58.0,1,384,552,Red Bluff,40.20521,-122.2077
650038,1570620019,1570700417,22.33,1,195,195,Arcata,40.86724,-124.08827
650039,1570620019,1570708222,24.5,1,1013,1407,Rio Dell,40.49583,-124.09949
650040,1570620626,1570839046,60.67,1,336,336,Redding,40.58856,-122.29852
650041,1570620626,1570622425,0.5,1,1,1,Nevada City,39.25942,-121.01512
650042,1570620626,1570828227,57.67,1,1028,1028,Penn Valley,39.19978,-121.17289
650043,1570620626,1570842021,61.5,1,164,164,Alleghany,39.46546,-120.84432
650044,1570620626,1570840820,61.16,1,662,662,Pollock Pines,38.75252,-120.55492
650045,1570620626,1570709418,24.66,1,0,0,Scotia,40.47647,-124.10084
650046,1570620626,1570833626,59.17,1,347,347,Magalia,39.8789,-121.61165
650047,1570620626,1570828820,57.83,1,168,168,Red Bluff,40.21502,-122.19048
650048,1570620626,1570837815,60.33,1,283,283,Redding,40.57114,-122.29966
650049,1570620626,1570623627,0.83,1,937,937,Camino,38.73905,-120.66782
650050,1570620626,1570843268,61.84,1,252,283,Upper Lake,39.1627,-122.9138
650051,1570620626,1570709418,24.66,1,148,148,Scotia,40.46189,-124.08884
650052,1570620626,1570834233,59.34,1,280,280,Smartsville,39.20645,-121.26303
650053,1570620626,1570831817,58.66,1,32,32,Redding,40.57107,-122.31398
650054,1570620626,1570841415,61.33,1,83,472,Alleghany,39.46546,-120.84435
650055,1570620626,1570747239,35.17,1,122,385,Napa,38.34134,-122.32594
650056,1570620626,1570840820,61.16,1,29,1156,Pollock Pines,38.76073,-120.50487
650057,1570620626,1570833626,59.17,1,100,100,Auburn Lake Trails,38.91236,-120.93204
650058,1570620626,1570823432,56.34,1,88,88,Lakeport,39.08028,-122.95131
650059,1570620626,1570620626,0.0,1,597,597,Ione,38.28977,-120.92783
650060,1570620626,1570710616,25.0,1,155,155,Redcrest,40.41631,-123.96128
650061,1570620626,1570630837,2.84,1,1,1,Red Bluff,40.15698,-122.14698
650062,1570620626,1570622425,0.5,1,1,1,Nevada City,39.29469,-121.00182
650063,1570620626,1570905025,79.0,1,131,131,Belden,39.91174,-121.32663
650064,1570620626,1570623627,0.83,1,1,16,Auburn,38.91069,-121.06592
650065,1570620626,1570764016,39.83,1,44,1162,Redding,40.61904000000001,-122.32271
650066,1570620626,1570838447,60.51,1,60,546,Upper Lake,39.1636,-122.92249
650067,1570620626,1570757419,38.0,1,1887,2590,Red Bluff,40.14511,-122.21216
